recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989772668294,-9.214401,3.6029816,0.24223328,-0.010742184,-0.6767578,0.74853516,0.8131652277161151,-40.780535247110706,65.73018018715662,0.7886414,-0.29625145,-0.18347879,0.50657016
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989783060294,-9.7026825,1.7719269,1.2798309,0.0053710938,-0.64208984,0.7841796,0.868462896857583,-40.9359947915509,65.75323869849794,0.78823566,-0.2975248,-0.183851,0.50632083
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989793454294,-7.446289,1.7700195,1.5850067,0.0068359375,-0.6660156,0.8422851,0.8856036899960601,-40.98786716561985,65.765445742182,0.78807807,-0.29793644,-0.18399607,0.5062716
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989803848294,-5.613327,1.2836456,2.439499,-0.017578125,-0.67041016,0.79882807,0.9204271887804772,-41.031506433767646,65.79519752891588,0.7878921,-0.29834148,-0.1840286,0.5063108
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989814440294,-4.2686462,0.91552734,2.9888153,-0.0024414062,-0.6796875,0.78906244,0.9501537547678759,-41.065378448268454,65.8273895390354,0.78771186,-0.2986531,-0.18405919,0.50639653
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989825032294,-3.4770966,1.5239716,3.293991,-0.00048827752,-0.6777344,0.7861328,0.97747307699949,-41.09327245784968,65.85912567148677,0.78754485,-0.2989138,-0.18407865,0.5064954
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989835624294,-2.500534,0.97846985,3.4770966,0.0029296912,-0.6665039,0.7841796,1.0067549059379581,-41.110063054912146,65.89499498428765,0.7873908,-0.29910055,-0.184046,0.50663656
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989844197294,-1.2817383,1.2207031,2.5615692,0.0043945387,-0.66503906,0.7636719,1.0494229837967919,-41.13001180335907,65.95069779292908,0.78716254,-0.29933625,-0.18398745,0.50687337
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989852770294,-1.5869141,0.9765625,1.9512177,0.019042976,-0.65966797,0.75634766,1.0551123774838607,-41.144360413714956,65.96275430385705,0.787082,-0.29944018,-0.18404402,0.50691646
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989861343294,-1.5850067,0.3643036,0.85258484,0.021972656,-0.6738281,0.76562494,1.04700449229798,-41.15935717154521,65.96246897436839,0.7870323,-0.29950732,-0.18416601,0.5069097
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989869916294,-1.953125,0.48828125,0.30326843,0.018554691,-0.6669922,0.75439453,1.0359248716808767,-41.1749689431183,65.95597400349259,0.7870037,-0.2995755,-0.18429492,0.50686705
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989877641294,-2.2583008,0.12207031,-0.42915344,0.013671879,-0.6660156,0.7578125,1.0152631331562916,-41.19790421672305,65.93938638837258,0.7869857,-0.29966766,-0.18449596,0.50676745
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989885366294,-2.4414062,0.061035156,-1.2836456,0.033691406,-0.6616211,0.76123047,0.9838086865819972,-41.218655402900716,65.9119365679574,0.78700376,-0.2997147,-0.18473288,0.5066253
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989893091294,-2.746582,-0.6713867,-2.0771027,0.022460938,-0.6611328,0.76171875,0.9454788725911555,-41.23806894568062,65.87747371554079,0.78704494,-0.29973367,-0.18499266,0.5064553
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989900816294,-3.0517578,-0.6713867,-2.6874542,0.020507812,-0.6621094,0.74853516,0.9047510318957815,-41.26554022207098,65.83901220829485,0.7870792,-0.2998038,-0.18529432,0.50625026
